Filename	**REDACTED**
Instrument name	HR20 **REDACTED**
Operator	**REDACTED**
rundate	**REDACTED**
Sample name	**REDACTED**
Geometry name	8 mm parallel plate, ETC Stainless steel, Disposable
Procedure name	Options
	Sample
	Options
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	End of test
proceduresegments	Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#End of test
[step]
Time sweep - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	min	°C	°	rad
1,61346	0,0271197	0,0168084	10,0001	1622,78	10,87	170,00	0,964134	2,00015e-3
1,61432	0,0270981	0,0167861	10,0001	1623,87	10,98	170,00	0,962850	2,00024e-3
1,61549	0,0271341	0,0167962	10,0001	1624,95	11,08	170,01	0,963427	2,00013e-3
1,61647	0,0271212	0,0167780	10,0001	1626,06	11,18	170,01	0,962383	2,00030e-3
1,61736	0,0271662	0,0167966	10,0001	1627,06	11,29	170,01	0,963445	2,00020e-3
1,61859	0,0272936	0,0168626	10,0001	1628,24	11,39	170,01	0,967224	2,00003e-3
1,61960	0,0272825	0,0168452	10,0001	1629,44	11,50	170,01	0,966226	2,00030e-3
1,62034	0,0272467	0,0168154	10,0001	1630,33	11,60	170,01	0,964514	2,00040e-3
1,62221	0,0275211	0,0169651	10,0001	1631,72	11,70	170,01	0,973096	1,99953e-3
1,62308	0,0273591	0,0168562	10,0001	1633,27	11,81	170,00	0,966848	2,00033e-3
1,62411	0,0273395	0,0168335	10,0001	1634,20	11,91	169,99	0,965544	2,00026e-3
1,62521	0,0274115	0,0168665	10,0001	1635,27	12,01	170,00	0,967429	2,00018e-3
1,62610	0,0273591	0,0168250	10,0001	1636,27	12,12	170,00	0,965050	2,00037e-3
1,62697	0,0273291	0,0167975	10,0001	1637,12	12,22	170,00	0,963471	2,00036e-3
1,62797	0,0275121	0,0168996	10,0001	1638,10	12,32	169,99	0,969324	2,00020e-3
1,62879	0,0275236	0,0168982	10,0001	1639,14	12,43	170,00	0,969239	2,00031e-3
1,62972	0,0275428	0,0169003	10,0001	1640,04	12,53	170,00	0,969357	2,00038e-3
